censoredWord,translation,replacementWord,translation2,
address,آدرس,supermarket,سوپرمارکت,
ahmadinejad,احمدی نژاد,literature,ادبیات,
alcohol,الکل,pear,گلابی,
amazon,آمازون,cats,گربه,
amoral,غیر اخلاقی,beggar,گدا,
arab,عرب,metal,فلزی,
arabic,عربی,face,صورت,
army,ارتش,afterthought,پس از فکر,
arrest,دستگیری,safety,ایمنی,
art,هنر,airport,فرودگاه,
artist,هنرمند,passenger,مسافر,
atomic,اتمی,patience,صبر,
attack,حمله,knot,گره,
authority,اقتدار,chance,شانس,
ayatollah,آيه الله,street,خیابان,
badoo,Badoo,guest,مهمان,
bandwidth,پهنای باند,daughter,دختر,
bbc,بی بی سی,sack,گونی,
bell,بل,two,دو,
bi,را,virus,ویروس,
biological,بیولوژیکی,arm,بازوی,
birthday,تولد,hill,تپه,
bisexual,دوجنس,paper,کاغذ,
blogger,بلاگر,train,قطار,
bomb,بمب,process,فرایند,
bombing,بمب گذاری,kick,ضربه,
bumble,بامبل,crayon,مداد,
burger,برگر,disgust,نفرت,
cbs,Cbs,movie,فیلم,
celebrate,جشن,election,انتخابات,
censor,سانسور,initiative,ابتکار,
censorship,سانسور,slave,برده,
chemical,شیمیایی,artisan,صنعتگری,
clash,برخورد,affair,امر,
clashing with people,درگیری با مردم,veil,حجاب,
cnn,Cnn,hands,دست,
code,کد,bubble,حباب,
confrontation,رویارویی,harmony,هماهنگی,
conservative,محافظه کار,bee,زنبور عسل,
convict,محکوم,cup,جام,
corrupt,فاسد,north,شمال,
corruption,فساد,media,رسانه,
covid,COVID,cloth,پارچه,
covid-19,covid-19,frogs,قورباغه,
crazy,دیوانه,receipt,رسید,
culture,فرهنگ,bit,بیتی,
dance,رقص,horn,شاخ,
death sentence,حکم اعدام,weather,هوا,
demonstration,تظاهرات,pest,آفت,
devil,شیطان,pump,پمپ,
dog,سگ,attitude,نگرش,
donkey,خر,scene,صحنه,
don't eat shit,گه نخور,tomatoes,گوجه فرنگی,
dress,لباس,note,توجه داشته باشید,
drive,درایو,nature,طبیعت,
drivers,درایور,jar,.jar,
drug,مواد مخدر,trousers,شلوار,
drugs,مواد مخدر,situation,وضعیت,
east,شرق,leather,چرم,
ebay,Ebay,depression,افسردگی,
economic,اقتصادی,degree,درجه,
economy,اقتصاد,bells,زنگ,
energy,انرژی,series,سری,
enrichment,غنی سازی,entertainment,سرگرمی,
exile,تبعید,collection,مجموعه,
facebook,فیس بوک,muscle,عضله,
female,زن,girls,دختران,
fine,پایان,introduction,مقدمه,
fox,فاکس,bridge,پل,
freedom,آزادی,computer,کامپیوتر,
gay,گی,friends,دوستان,
girl,دختر,quiver,لرزش,
gmail,جیمیل,account,حساب,
god,خدا,copy,کپی,
google,گوگل,spark,جرقه,
government,دولت,hole,سوراخ,
grant,گرانت,time,زمان,
green,سبز,wren,آچار,
guidance patrol,گشت راهنمایی,goldfish,ماهی قرمز,
haram,غیر قانونی,leadership,رهبری,
harass,آزار و اذیت,light,نور,
harassment,مزاحمت,garbage,زباله,
hijab,حجاب,powder,پودر,
homo,انسان,sleet,براق,
hornet,زنبور,bedroom,اتاق خواب,
hotmail,Hotmail,question,سوال,
hut,کلبه,floor,طبقه,
iaea,iaea,hydrant,هیدرانت,
iaeo,iaeo,wire,سیم,
illegal,غیر قانونی,aunt,عمه,
international,بین المللی,judgment,قضاوت,
internet,اینترنت,disk,دیسک,
intimidate,ارعاب,calendar,تقویم,
intimidation,ارعاب,quality,کیفیت,
ip,آی پی,employee,کارمند,
iran,ایران,lip,لب,
islam,اسلامی,stew,خورش,
islamic,اسلامی,spot,نقطه,
israel,اسرائیل,earthquake,زلزله,
kfc,Kfc,dock,با این وجود,
khamenei,خامنه ای,role,نقش,
king,پادشاه,curve,منحنی,
kingdom,پادشاهی,snails,حلزون,
koran,روزنامه,population,جمعیت,
